1621442935.628873 client started (61478): version 3.2, socket /private/tmp/tmux-501/default, protocol 8
1621442935.628925 on Darwin 20.3.0 Darwin Kernel Version 20.3.0: Thu Jan 21 00:07:06 PST 2021; root:xnu-7195.81.3~1/RELEASE_X86_64
1621442935.628951 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1621442935.633659 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.633666 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633674 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633682 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633693 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633699 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633706 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633712 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.633719 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.633728 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633738 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633746 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633755 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633764 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633770 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.633776 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633783 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633789 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633798 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633804 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633813 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633823 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633834 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.633844 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.633851 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633860 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633868 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633875 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633883 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633892 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633900 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.633909 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633933 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633942 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633951 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633960 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633968 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633974 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.633982 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633990 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633998 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.634006 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.634014 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.634022 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.634030 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.634039 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.634046 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.634054 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
