

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
103.551  003.201  000.237: require('mason-registry.index.bash-language-server')
106.311  000.198  000.198: require('mason-core.managers.powershell')
106.315  000.449  000.251: require('mason-core.fetch')
106.327  000.698  000.249: require('mason-core.managers.github.client')
106.642  000.313  000.313: require('mason-core.managers.std')
106.650  001.323  000.312: require('mason-core.managers.github')
106.761  001.670  000.347: require('mason-registry.index.lua-language-server')
106.985  000.200  000.200: require('mason-registry.index.typescript-language-server')
107.453  000.178  000.178: require('mason-core.functional.number')
107.480  000.490  000.312: require('mason-lspconfig.api.command')
107.889  000.207  000.207: require('cmp_nvim_lsp.source')
107.893  000.412  000.205: require('cmp_nvim_lsp')
108.305  000.272  000.272: require('lspconfig.server_configurations.lua_ls')
109.176  000.240  000.240: require('lspconfig.server_configurations.bashls')
110.043  000.248  000.248: require('lspconfig.server_configurations.tsserver')
110.738  000.224  000.224: require('lspconfig.server_configurations.marksman')
111.230  031.668  004.397: require('nvim-lspconfig')
111.607  000.251  000.251: require('catppuccin')
111.971  000.131  000.131: require('catppuccin.lib.hashing')
112.949  000.714  000.714: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/catppuccin/colors/catppuccin.vim
114.084  002.847  001.752: require('config-catppuccin')
114.261  000.174  000.174: require('leap')
114.468  000.204  000.204: require('leap.user')
114.493  000.009  000.009: require('vim.keymap')
117.029  000.280  000.280: require('vim.treesitter.language')
117.037  000.883  000.603: require('vim.treesitter.query')
119.565  000.522  000.522: require('vim.treesitter.languagetree')
119.604  000.964  000.443: require('vim.treesitter')
119.847  002.030  001.065: require('nvim-treesitter.parsers')
120.211  000.362  000.362: require('nvim-treesitter.utils')
120.219  002.866  000.475: require('nvim-treesitter.ts_utils')
120.229  003.190  000.324: require('nvim-treesitter.tsrange')
120.476  000.245  000.245: require('nvim-treesitter.caching')
120.494  004.782  000.463: require('nvim-treesitter.query')
120.524  005.347  000.565: require('nvim-treesitter.configs')
121.662  000.343  000.343: require('nvim-treesitter.info')
122.109  000.444  000.444: require('nvim-treesitter.shell_command_selectors')
122.172  001.631  000.844: require('nvim-treesitter.install')
130.150  015.094  008.116: require('config-treesitter')
132.449  000.379  000.379: require('plenary.strings')
132.693  000.241  000.241: require('telescope.deprecated')
133.925  000.409  000.409: require('plenary.log')
133.948  000.665  000.255: require('telescope.log')
135.198  000.635  000.635: require('plenary.job')
135.467  000.266  000.266: require('telescope.state')
135.478  001.528  000.627: require('telescope.utils')
135.487  002.792  000.599: require('telescope.sorters')
135.561  000.061  000.061: require('vim.inspect')
137.534  006.009  002.536: require('telescope.config')
138.474  000.431  000.431: require('plenary.window.border')
